ZMW,region,start,stop,y
6882067,Five_Barcode_Reverse,1352,1376,75
6882067,Three_Barcode_Reverse,1306,1376,50
6882069,CCS,0,1200,100
6882069,Five_Barcode_Reverse,1176,1200,75
6882069,Three_Barcode_Reverse,1126,1200,50
6882070,CCS,0,2114,100
6882070,Five_Barcode_Reverse,2091,2115,75
6882070,Three_Barcode,1,77,50
6882071,CCS,0,801,100
6882072,CCS,0,4639,100
6882072,Five_Barcode,1,25,75
6882072,Three_Barcode,1,73,50
6882073,CCS,0,860,100
6882073,Five_Barcode_Reverse,836,860,75
6882073,Three_Barcode_Reverse,792,862,50
6882074,CCS,0,1247,100
6882074,Five_Barcode_Reverse,1223,1247,75
6882074,Three_Barcode,1,71,50
6882075,CCS,0,1971,100
6882075,Five_Barcode_Reverse,1947,1971,75
6882075,Three_Barcode,1,71,50
6882076,CCS,0,465,100
6882077,CCS,0,314,100
6882078,CCS,0,174,100
6882080,CCS,0,1964,100
6882082,CCS,0,242,100
6882085,CCS,0,4142,100
6882085,Five_Barcode_Reverse,586,610,75
6882085,Five_Barcode_Reverse,4118,4142,75
6882085,Three_Barcode,611,681,50
6882086,CCS,0,4424,100
6882086,Five_Barcode_Reverse,1945,1969,75
6882086,Five_Barcode_Reverse,3788,3812,75
6882086,Five_Barcode_Reverse,4400,4424,75
6882086,Three_Barcode_Reverse,1899,1969,50
6882086,Three_Barcode_Reverse,3742,3812,50
6882087,CCS,0,2073,100
6882087,Five_Barcode_Reverse,2049,2073,75
6882087,Three_Barcode_Reverse,2003,2073,50
6882088,CCS,0,1715,100
6882088,Five_Barcode_Reverse,1691,1715,75
6882088,Three_Barcode,1,71,50
6882090,CCS,0,2667,100
6882090,Five_Barcode_Reverse,730,754,75
6882090,Five_Barcode_Reverse,2643,2667,75
6882090,Three_Barcode_Reverse,685,755,50
6882091,CCS,0,1222,100
6882091,Five_Barcode_Reverse,1197,1222,75
6882091,Three_Barcode_Reverse,1147,1222,50
6882092,CCS,0,2370,100
6882092,Five_Barcode_Reverse,2346,2370,75
6882092,Three_Barcode_Reverse,2300,2370,50
6882094,CCS,0,927,100
6882094,Five_Barcode_Reverse,903,927,75
6882094,Three_Barcode_Reverse,856,927,50
6882097,CCS,0,989,100
6882097,Five_Barcode_Reverse,965,989,75
6882097,Three_Barcode,1,72,50
6882098,CCS,0,2674,100
6882098,Five_Barcode_Reverse,2648,2674,75
6882098,Three_Barcode,1,77,50
6882098,Three_Barcode,1,79,50
6882099,CCS,0,3795,100
6882099,Three_Barcode,1,68,50
6882100,CCS,0,2586,100
6882100,Five_Barcode_Reverse,2562,2586,75
6882100,Three_Barcode_Reverse,2512,2586,50
6882102,CCS,0,4854,100
6882104,CCS,0,3642,100
6882104,Five_Barcode_Reverse,3618,3642,75
6882104,Three_Barcode,1,71,50
6882105,CCS,0,3679,100
